INFO  - 2014-07-22 15:23:26.574; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2014-07-22 15:23:26.574; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2014-07-22 15:23:26.575; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2014-07-22 15:23:26.575; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-07-22 15:23:26.575; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2014-07-22 15:23:26.576; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-07-22 15:23:26.576; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2014-07-22 15:23:26.576; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/poi-3.10-beta2.jar' to classloader
INFO  - 2014-07-22 15:23:26.577; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/poi-ooxml-3.10-beta2.jar' to classloader
INFO  - 2014-07-22 15:23:26.577; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/poi-ooxml-schemas-3.10-beta2.jar' to classloader
INFO  - 2014-07-22 15:23:26.577; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/poi-scratchpad-3.10-beta2.jar' to classloader
INFO  - 2014-07-22 15:23:26.577; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2014-07-22 15:23:26.578; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-07-22 15:23:26.578; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2014-07-22 15:23:26.578; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2014-07-22 15:23:26.579; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2014-07-22 15:23:26.579; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-07-22 15:23:26.579; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-07-22 15:23:26.579; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-07-22 15:23:26.580; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2014-07-22 15:23:26.580; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2014-07-22 15:23:26.580; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2014-07-22 15:23:26.581; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/dist/solr-cell-4.9.0.jar' to classloader
INFO  - 2014-07-22 15:23:26.582; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2014-07-22 15:23:26.583; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2014-07-22 15:23:26.583; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2014-07-22 15:23:26.584; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2014-07-22 15:23:26.584; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/tailswitch/thirdParty/solr/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
